idx,file_name,dt_s,peak_rss_kb,variant
0,2004.02.12.10.32.39,0.005721,0,float32
1,2004.02.12.11.12.39,0.005524,0,float32
2,2004.02.12.11.52.39,0.007173,0,float32
3,2004.02.12.12.32.39,0.005481,0,float32
4,2004.02.12.13.12.39,0.005369,0,float32
5,2004.02.12.13.52.39,0.005494,0,float32
6,2004.02.12.14.32.39,0.005712,0,float32
7,2004.02.12.15.12.39,0.006055,0,float32
8,2004.02.12.15.52.39,0.005872,0,float32
9,2004.02.12.16.32.39,0.006483,0,float32
10,2004.02.12.17.12.39,0.007732,0,float32
11,2004.02.12.17.52.39,0.007192,0,float32
12,2004.02.12.18.32.39,0.008502,0,float32
13,2004.02.12.19.12.39,0.008407,0,float32
14,2004.02.12.19.52.39,0.006304,0,float32
15,2004.02.12.20.32.39,0.005947,0,float32
16,2004.02.12.21.12.39,0.005770,0,float32
17,2004.02.12.21.52.39,0.005662,0,float32
18,2004.02.12.22.32.39,0.008589,0,float32
19,2004.02.12.23.12.39,0.008243,0,float32
20,2004.02.12.23.52.39,0.008405,0,float32
21,2004.02.13.00.32.39,0.008377,0,float32
22,2004.02.13.01.12.39,0.006547,0,float32
23,2004.02.13.01.52.39,0.006787,0,float32
24,2004.02.13.02.32.39,0.005819,0,float32
25,2004.02.13.03.12.39,0.006122,0,float32
26,2004.02.13.03.52.39,0.005728,0,float32
27,2004.02.13.04.32.39,0.006026,0,float32
28,2004.02.13.05.12.39,0.006454,0,float32
29,2004.02.13.05.52.39,0.006412,0,float32
30,2004.02.13.06.32.39,0.005935,0,float32
31,2004.02.13.07.12.39,0.006041,0,float32
32,2004.02.13.07.52.39,0.005951,0,float32
33,2004.02.13.08.32.39,0.006043,0,float32
34,2004.02.13.09.12.39,0.006063,0,float32
35,2004.02.13.09.52.39,0.005880,0,float32
36,2004.02.13.10.32.39,0.006097,0,float32
37,2004.02.13.11.12.39,0.006016,0,float32
38,2004.02.13.11.52.39,0.006271,0,float32
39,2004.02.13.12.32.39,0.005919,0,float32
40,2004.02.13.13.12.39,0.006128,0,float32
41,2004.02.13.13.52.39,0.006119,0,float32
42,2004.02.13.14.32.39,0.006003,0,float32
43,2004.02.13.15.12.39,0.006147,0,float32
44,2004.02.13.15.52.39,0.006110,0,float32
45,2004.02.13.16.32.39,0.006004,0,float32
46,2004.02.13.17.12.39,0.005918,0,float32
47,2004.02.13.17.52.39,0.006214,0,float32
48,2004.02.13.18.32.39,0.005804,0,float32
49,2004.02.13.19.12.39,0.006015,0,float32
50,2004.02.13.19.52.39,0.006206,0,float32
51,2004.02.13.20.32.39,0.005887,0,float32
52,2004.02.13.21.12.39,0.006261,0,float32
53,2004.02.13.21.52.39,0.006113,0,float32
54,2004.02.13.22.32.39,0.006207,0,float32
55,2004.02.13.23.12.39,0.005749,0,float32
56,2004.02.13.23.52.39,0.006040,0,float32
57,2004.02.14.00.32.39,0.006188,0,float32
58,2004.02.14.01.12.39,0.006142,0,float32
59,2004.02.14.01.52.39,0.006074,0,float32
60,2004.02.14.02.32.39,0.005887,0,float32
61,2004.02.14.03.12.39,0.005892,0,float32
62,2004.02.14.03.52.39,0.005841,0,float32
63,2004.02.14.04.32.39,0.005914,0,float32
64,2004.02.14.05.12.39,0.006206,0,float32
65,2004.02.14.05.52.39,0.006055,0,float32
66,2004.02.14.06.32.39,0.005753,0,float32
67,2004.02.14.07.12.39,0.005795,0,float32
68,2004.02.14.07.52.39,0.005954,0,float32
69,2004.02.14.08.32.39,0.005845,0,float32
70,2004.02.14.09.12.39,0.005797,0,float32
71,2004.02.14.09.52.39,0.006079,0,float32
72,2004.02.14.10.32.39,0.006980,0,float32
73,2004.02.14.11.12.39,0.006502,0,float32
74,2004.02.14.11.52.39,0.006576,0,float32
75,2004.02.14.12.32.39,0.006383,0,float32
76,2004.02.14.13.12.39,0.006181,0,float32
77,2004.02.14.13.52.39,0.006620,0,float32
78,2004.02.14.14.32.39,0.005747,0,float32
79,2004.02.14.15.12.39,0.006972,0,float32
80,2004.02.14.15.52.39,0.006752,0,float32
81,2004.02.14.16.32.39,0.005960,0,float32
82,2004.02.14.17.12.39,0.007000,0,float32
83,2004.02.14.17.52.39,0.005892,0,float32
84,2004.02.14.18.32.39,0.005985,0,float32
85,2004.02.14.19.12.39,0.007120,0,float32
86,2004.02.14.19.52.39,0.006016,0,float32
87,2004.02.14.20.32.39,0.006567,0,float32
88,2004.02.14.21.12.39,0.005544,0,float32
89,2004.02.14.21.52.39,0.005744,0,float32
90,2004.02.14.22.32.39,0.005609,0,float32
91,2004.02.14.23.12.39,0.005582,0,float32
92,2004.02.14.23.52.39,0.006597,0,float32
93,2004.02.15.00.32.39,0.005999,0,float32
94,2004.02.15.01.12.39,0.006514,0,float32
95,2004.02.15.01.52.39,0.005790,0,float32
96,2004.02.15.02.32.39,0.005734,0,float32
97,2004.02.15.03.12.39,0.006543,0,float32
98,2004.02.15.03.52.39,0.005747,0,float32
99,2004.02.15.04.32.39,0.006233,0,float32
100,2004.02.15.05.12.39,0.005985,0,float32
101,2004.02.15.05.52.39,0.006268,0,float32
102,2004.02.15.06.32.39,0.006526,0,float32
103,2004.02.15.07.12.39,0.005982,0,float32
104,2004.02.15.07.52.39,0.006288,0,float32
105,2004.02.15.08.32.39,0.005659,0,float32
106,2004.02.15.09.12.39,0.006364,0,float32
107,2004.02.15.09.52.39,0.005598,0,float32
108,2004.02.15.10.32.39,0.005857,0,float32
109,2004.02.15.11.12.39,0.005679,0,float32
110,2004.02.15.11.52.39,0.005587,0,float32
111,2004.02.15.12.32.39,0.005617,0,float32
112,2004.02.15.13.12.39,0.006643,0,float32
113,2004.02.15.13.52.39,0.006030,0,float32
114,2004.02.15.14.32.39,0.005878,0,float32
115,2004.02.15.15.12.39,0.006799,0,float32
116,2004.02.15.15.52.39,0.005791,0,float32
117,2004.02.15.16.32.39,0.005801,0,float32
118,2004.02.15.17.12.39,0.006317,0,float32
119,2004.02.15.17.52.39,0.005821,0,float32
120,2004.02.15.18.32.39,0.006362,0,float32
121,2004.02.15.19.12.39,0.005699,0,float32
122,2004.02.15.19.52.39,0.005683,0,float32
123,2004.02.15.20.32.39,0.006261,0,float32
124,2004.02.15.21.12.39,0.005860,0,float32
125,2004.02.15.21.52.39,0.005668,0,float32
126,2004.02.15.22.32.39,0.006099,0,float32
127,2004.02.15.23.12.39,0.006331,0,float32
128,2004.02.15.23.52.39,0.005730,0,float32
129,2004.02.16.00.32.39,0.006561,0,float32
130,2004.02.16.01.12.39,0.005730,0,float32
131,2004.02.16.01.52.39,0.006222,0,float32
132,2004.02.16.02.32.39,0.005567,0,float32
133,2004.02.16.03.12.39,0.006392,0,float32
134,2004.02.16.03.52.39,0.006777,0,float32
135,2004.02.16.04.32.39,0.006172,0,float32
136,2004.02.16.05.12.39,0.007504,0,float32
137,2004.02.16.05.52.39,0.007350,0,float32
138,2004.02.16.06.32.39,0.007323,0,float32
139,2004.02.16.07.12.39,0.006686,0,float32
140,2004.02.16.07.52.39,0.007042,0,float32
141,2004.02.16.08.32.39,0.005515,0,float32
142,2004.02.16.09.12.39,0.005593,0,float32
143,2004.02.16.09.52.39,0.005466,0,float32
144,2004.02.16.10.32.39,0.005655,0,float32
145,2004.02.16.11.12.39,0.005616,0,float32
146,2004.02.16.11.52.39,0.005603,0,float32
147,2004.02.16.12.32.39,0.005721,0,float32
148,2004.02.16.13.12.39,0.005610,0,float32
149,2004.02.16.13.52.39,0.005630,0,float32
150,2004.02.16.14.32.39,0.005445,0,float32
151,2004.02.16.15.12.39,0.006116,0,float32
152,2004.02.16.15.52.39,0.005738,0,float32
153,2004.02.16.16.32.39,0.005609,0,float32
154,2004.02.16.17.12.39,0.005544,0,float32
155,2004.02.16.17.52.39,0.005525,0,float32
156,2004.02.16.18.32.39,0.005713,0,float32
157,2004.02.16.19.12.39,0.005591,0,float32
158,2004.02.16.19.52.39,0.005637,0,float32
159,2004.02.16.20.32.39,0.005634,0,float32
160,2004.02.16.21.12.39,0.006195,0,float32
161,2004.02.16.21.52.39,0.005846,0,float32
162,2004.02.16.22.32.39,0.005870,0,float32
163,2004.02.16.23.12.39,0.005761,0,float32
164,2004.02.16.23.52.39,0.005751,0,float32
165,2004.02.17.00.32.39,0.006307,0,float32
166,2004.02.17.01.12.39,0.005865,0,float32
167,2004.02.17.01.52.39,0.005717,0,float32
168,2004.02.17.02.32.39,0.005778,0,float32
169,2004.02.17.03.12.39,0.006088,0,float32
170,2004.02.17.03.52.39,0.005727,0,float32
171,2004.02.17.04.32.39,0.005508,0,float32
172,2004.02.17.05.12.39,0.005647,0,float32
173,2004.02.17.05.52.39,0.005770,0,float32
174,2004.02.17.06.32.39,0.005662,0,float32
175,2004.02.17.07.12.39,0.006353,0,float32
176,2004.02.17.07.52.39,0.005768,0,float32
177,2004.02.17.08.32.39,0.005643,0,float32
178,2004.02.17.09.12.39,0.005644,0,float32
179,2004.02.17.09.52.39,0.006028,0,float32
180,2004.02.17.10.32.39,0.005528,0,float32
181,2004.02.17.11.12.39,0.006020,0,float32
182,2004.02.17.11.52.39,0.005867,0,float32
183,2004.02.17.12.32.39,0.005832,0,float32
184,2004.02.17.13.12.39,0.005591,0,float32
185,2004.02.17.13.52.39,0.005588,0,float32
186,2004.02.17.14.32.39,0.005803,0,float32
187,2004.02.17.15.12.39,0.005522,0,float32
188,2004.02.17.15.52.39,0.005567,0,float32
189,2004.02.17.16.32.39,0.005638,0,float32
190,2004.02.17.17.12.39,0.005552,0,float32
191,2004.02.17.17.52.39,0.005731,0,float32
192,2004.02.17.18.32.39,0.005527,0,float32
193,2004.02.17.19.12.39,0.005584,0,float32
194,2004.02.17.19.52.39,0.005602,0,float32
195,2004.02.17.20.32.39,0.006409,0,float32
196,2004.02.17.21.12.39,0.006287,0,float32
197,2004.02.17.21.52.39,0.006829,0,float32
198,2004.02.17.22.32.39,0.005765,0,float32
199,2004.02.17.23.12.39,0.005748,0,float32
200,2004.02.17.23.52.39,0.005804,0,float32
201,2004.02.18.00.32.39,0.006326,0,float32
202,2004.02.18.01.12.39,0.005530,0,float32
203,2004.02.18.01.52.39,0.005789,0,float32
204,2004.02.18.02.32.39,0.005982,0,float32
205,2004.02.18.03.12.39,0.005543,0,float32
206,2004.02.18.03.52.39,0.006166,0,float32
207,2004.02.18.04.32.39,0.005768,0,float32
208,2004.02.18.05.12.39,0.008938,0,float32
209,2004.02.18.05.52.39,0.006243,0,float32
210,2004.02.18.06.32.39,0.005754,0,float32
211,2004.02.18.07.12.39,0.006103,0,float32
212,2004.02.18.07.52.39,0.005697,0,float32
213,2004.02.18.08.32.39,0.005905,0,float32
214,2004.02.18.09.12.39,0.006234,0,float32
215,2004.02.18.09.52.39,0.006103,0,float32
216,2004.02.18.10.32.39,0.005988,0,float32
217,2004.02.18.11.12.39,0.005812,0,float32
218,2004.02.18.11.52.39,0.006169,0,float32
219,2004.02.18.12.32.39,0.005763,0,float32
220,2004.02.18.13.12.39,0.006222,0,float32
221,2004.02.18.13.52.39,0.005642,0,float32
222,2004.02.18.14.32.39,0.005630,0,float32
223,2004.02.18.15.12.39,0.006061,0,float32
224,2004.02.18.15.52.39,0.005555,0,float32
225,2004.02.18.16.32.39,0.005656,0,float32
226,2004.02.18.17.12.39,0.005585,0,float32
227,2004.02.18.17.52.39,0.005721,0,float32
228,2004.02.18.18.32.39,0.005434,0,float32
229,2004.02.18.19.12.39,0.005615,0,float32
230,2004.02.18.19.52.39,0.005497,0,float32
231,2004.02.18.20.32.39,0.005576,0,float32
232,2004.02.18.21.12.39,0.006357,0,float32
233,2004.02.18.21.52.39,0.005695,0,float32
234,2004.02.18.22.32.39,0.005433,0,float32
235,2004.02.18.23.12.39,0.005565,0,float32
236,2004.02.18.23.52.39,0.005470,0,float32
237,2004.02.19.00.32.39,0.005743,0,float32
238,2004.02.19.01.12.39,0.005635,0,float32
239,2004.02.19.01.52.39,0.005663,0,float32
240,2004.02.19.02.32.39,0.005625,0,float32
241,2004.02.19.03.12.39,0.005627,0,float32
242,2004.02.19.03.52.39,0.005753,0,float32
243,2004.02.19.04.32.39,0.005383,0,float32
244,2004.02.19.05.12.39,0.005716,0,float32
245,2004.02.19.05.52.39,0.005971,0,float32
